lookahead,subgrid_width,subgrid_height,subgrid_increment,d,m_traps,n_traps,trap_capacity,exec_time,comp_time,reconfigTime,ElapsedTime,Operations,MeanConcurrency,QubitOperations,LogicalErrorRates,PhysicalZErrorRates,PhysicalXErrorRates,DACs,Electrodes,error
1,4,3,0,2,2,3,2,0.005915000000000001,11.773515374981798,0.00385,0.005915000000000001,69.0,1.8157894736842106,65.0,[0.09702],[0.0],[0.0],102.0,300.0,
1,2,2,2,2,2,3,2,0.008974000000000001,45.91675154201221,0.006484000000000001,0.008974000000000001,77.0,1.4807692307692308,65.0,[0.09742],[0.0],[0.0],102.0,300.0,
4,4,3,0,2,2,3,2,0.004386000000000001,117.65105433296412,0.001896,0.004386000000000001,69.0,1.5681818181818181,65.0,[0.09548],[0.0],[0.0],102.0,300.0,
4,2,2,2,2,2,3,2,0.009066000000000001,157.70058529207017,0.007436,0.009066000000000001,61.0,1.4186046511627908,65.0,[0.08684],[0.0],[0.0],102.0,300.0,
1,4,3,0,2,1,3,4,0.004430000000000001,11.048505624989048,0.00177,0.004430000000000001,69.0,1.3018867924528301,65.0,[0.09546],[0.0],[0.0],102.0,270.0,
4,4,3,0,2,1,3,4,,0.0,,,,,,[nan],[nan],[nan],,,BrokenProcessPool('A process in the process pool was terminated abruptly while the future was running or pending.')
4,2,2,2,2,1,3,4,,0.0,,,,,,[nan],[nan],[nan],,,BrokenProcessPool('A process in the process pool was terminated abruptly while the future was running or pending.')
1,2,2,2,2,1,3,4,,0.0,,,,,,[nan],[nan],[nan],,,BrokenProcessPool('A process in the process pool was terminated abruptly while the future was running or pending.')
1,5,1,2,2,1,3,8,0.049802,0.8102977910311893,0.046032000000000003,0.049802,69.0,1.0,65.0,[0.20593],[0.0],[0.0],103.0,510.0,
4,5,1,2,2,1,3,8,0.034749999999999996,7.986733707948588,0.03098,0.034749999999999996,69.0,1.0,65.0,[0.17982],[0.0],[0.0],103.0,510.0,
1,8,3,0,2,1,3,8,0.049802,32.75177816604264,0.046032000000000003,0.049802,69.0,1.0,65.0,[0.2041],[0.0],[0.0],103.0,510.0,
1,3,1,4,2,1,3,8,0.020866000000000006,32.77435387508012,0.017096000000000004,0.020866000000000006,73.0,1.0,65.0,[0.15845],[0.0],[0.0],103.0,510.0,
1,3,1,2,2,1,3,8,0.020866000000000006,32.807960207923315,0.017096000000000004,0.020866000000000006,73.0,1.0,65.0,[0.15926],[0.0],[0.0],103.0,510.0,
4,8,3,0,2,1,3,8,0.049802,56.37727920804173,0.046032000000000003,0.049802,69.0,1.0,65.0,[0.20565],[0.0],[0.0],103.0,510.0,
4,3,1,2,2,1,3,8,0.008357999999999999,100.24060012504924,0.004587999999999999,0.008357999999999999,73.0,1.0,65.0,[0.13395],[0.0],[0.0],103.0,510.0,
4,3,1,4,2,1,3,8,0.008357999999999999,97.7484993339749,0.004587999999999999,0.008357999999999999,73.0,1.0,65.0,[0.13469],[0.0],[0.0],103.0,510.0,
1,7,1,4,2,1,3,16,0.17700199999999985,1.290612249984406,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.44161],[0.0],[0.0],105.0,990.0,
1,7,1,2,2,1,3,16,0.17700199999999985,1.3100910830544308,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.44221],[0.0],[0.0],105.0,990.0,
4,7,1,2,2,1,3,16,0.11954999999999989,7.876302542048506,0.11577999999999988,0.11954999999999989,69.0,1.0,65.0,[0.39397],[0.0],[0.0],105.0,990.0,
4,7,1,4,2,1,3,16,0.11954999999999989,7.8566120830364525,0.11577999999999988,0.11954999999999989,69.0,1.0,65.0,[0.39581],[0.0],[0.0],105.0,990.0,
4,9,1,2,2,1,3,16,0.17700199999999985,17.46207524999045,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.44083],[0.0],[0.0],105.0,990.0,
4,9,1,4,2,1,3,16,0.17700199999999985,17.459433041978627,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.44071],[0.0],[0.0],105.0,990.0,
1,9,1,2,2,1,3,16,0.17700199999999985,30.543344667064957,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.44186],[0.0],[0.0],105.0,990.0,
1,9,1,4,2,1,3,16,0.17700199999999985,30.588612458086573,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.4404],[0.0],[0.0],105.0,990.0,
1,16,3,0,2,1,3,16,0.17700199999999985,404.95962804206647,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.43863],[0.0],[0.0],105.0,990.0,
1,5,1,4,2,1,3,16,0.0058140000000000015,409.0464002910303,0.0020440000000000002,0.0058140000000000015,73.0,1.0,65.0,[0.18188],[0.0],[0.0],105.0,990.0,
1,5,1,2,2,1,3,16,0.0058140000000000015,408.3408543340629,0.0020440000000000002,0.0058140000000000015,73.0,1.0,65.0,[0.1853],[0.0],[0.0],105.0,990.0,
4,16,3,0,2,1,3,16,0.17700199999999985,26084.465733249905,0.17323199999999983,0.17700199999999985,69.0,1.0,65.0,[0.44324],[0.0],[0.0],105.0,990.0,
4,5,1,2,2,1,3,16,0.007086,30158.928486042074,0.0033160000000000004,0.007086,73.0,1.0,65.0,[0.1883],[0.0],[0.0],105.0,990.0,
